name;id_name;parent_id
50;audi;8
80;audi;8
90;audi;8
100;audi;8
200;audi;8
4000;audi;8
100 Coupe S;audi;8
A1;audi;8
A2;audi;8
A3;audi;8
A4;audi;8
A4 Allroad Quattro;audi;8
A4 Cabriolet;audi;8
A5;audi;8
A5 Cabriolet;audi;8
A6;audi;8
A6 Allroad Quattro;audi;8
A7;audi;8
A8;audi;8
Cabriolet;audi;8
Coupe;audi;8
Coupe GT;audi;8
Coupe Quattro;audi;8
F103;audi;8
Q5;audi;8
Q7;audi;8
Quattro;audi;8
R8;audi;8
RS 2 Avant;audi;8
RS 4;audi;8
RS 6;audi;8
S2;audi;8
S3;audi;8
S4;audi;8
S4 Cabriolet;audi;8
S5;audi;8
S5 Cabriolet;audi;8
S6;audi;8
S8;audi;8
Sport Quattro S1;audi;8
TT Coupe;audi;8
TT Roadster;audi;8
TTS;audi;8
V8;audi;8
